[null],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
Butler Office Pro X,2.2.0[11],Mac OS X,Butler Office Pro X,Butler Software Solutions,Proprietary,Yes,[null],Full support via email
DataViz Slideshow To Go,11.000[12],Palm OS  Windows Mobile  Symbian (UIQ  S80),Documents To Go,DataViz,Proprietary,Yes,[null],[null]
EIOffice Presentation,2009  5.0.1272.101[13],Windows  Linux,EIOffice,Evermore Software,Proprietary,Yes,[null],Import only[13]
Go-oo Impress,3.0.0[14],Windows  Linux  Unix  Mac OS X,Go-oo,Free software community,LGPL  CDDL,Yes,[null],Import only
IBM Lotus Symphony,1.3[16],Windows  Mac OS X  Linux,IBM Lotus Symphony,IBM,Proprietary,Yes,[null],Import only
Keynote,'08[38],Mac OS X,iWork,Apple Inc.,Proprietary,Yes,[null],[null]
LibreOffice,All versions,Windows  OS X  Linux  Unix  Android,[null],The Document Foundation,MPL,Yes,Yes,[null]
Microsoft Office PowerPoint,2013  2011 for Mac,Windows  Mac OS X,Microsoft Office,Microsoft,Proprietary,Yes,Yes,[null]
Microsoft Office Mobile PowerPoint Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary,Yes,[null],[null]
NeoOffice Impress,2.2.5[36],Mac OS X,NeoOffice,Patrick Luby  Edward Peterlin,GPL,Yes,[null],[null]
ONLYOFFICE,5.2[27],Web Application,ONLYOFFICE,Ascensio System SIA,Proprietary  AGPL,Yes,[null],[null]
OpenOffice.org Impress,3.0,Windows  Linux  Unix  Mac OS X,OpenOffice.org,OpenOffice.org,LGPL,Yes,[null],Import only
Corel Presentations,X4 (2008)[34],Windows,WordPerfect Office,Corel,Proprietary,Yes,[null],Import only
StarOffice Impress,9[30],Windows  Linux  Solaris,StarOffice,Sun Microsystems,Proprietary,Yes,[null],Import only[31]
Thinkfree Office Show,[33],Windows  Mac OS X  Linux,Thinkfree Office,ThinkFree Corp,Proprietary,Yes,[null],[null]
[null],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
