Name,Unicode Support,Single parent family,Same sex marriage,Witness to events,Name variants,Conflicting evidence,Source surety,Adoption & foster parent,non-standard calendar in date fields
Agelong Tree,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Ahnenblatt,[null],[null],[null],christening and marriage only,[null],[null],[null],[null],[null]
Ancestral Quest,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Brother's Keeper,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Family Historian,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Family Tree Builder,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Family Tree Maker,[null],[null],[null],[null],[null],[null],[null],[null],[null]
GEDitCOM II,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Genbox Family History,[null],[null],[null],[null],[null],[null],[null],[null],[null]
GenealogyJ,[null],[null],One partner's gender mislabelled,[null],[null],[null],[null],[null],[null]
GenoPro,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Gramps,[null],[null],One partner's gender mislabelled<ref></ref>,[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Legacy Family Tree,[null],[null],[null],[null],[null],[null],[null],[null],[null]
LifeLines,[null],[null],[null],[null],[null],[null],[null],[null],[null]
MacFamilyTree,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Personal Ancestral File,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Reunion,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RootsMagic,[null],[null],[null],(paid version),[null],[null],[null],[null],[null]
The Master Genealogist,[null],[null],[null],[null],[null],[null],[null],[null],[null]
